x || 00
x || 00
x || 00
x || 00
x || 00
x || 00
x || 00
x || 00
x || 00
x || 00
1 || 00
1 || 00
1 || 04
1 || 04
1 || 06
1 || 06
1 || 07
1 || 07
2 || 00
2 || 00
2 || 08
2 || 08
2 || 18
2 || 18
2 || 38
2 || 38
3 || 00
3 || 00
3 || 0c
3 || 0c
3 || 1e
3 || 1e
3 || 3f
3 || 3f
3 || 00
3 || 00
3 || 0c
3 || 0c
3 || 1e
3 || 1e
3 || 3f
3 || 3f
3 || 00
3 || 00
3 || 0c
3 || 0c
3 || 1e
3 || 1e
3 || 3f
3 || 3f
3 || 00
3 || 00
3 || 0c
3 || 0c
3 || 1e
3 || 1e
3 || 3f
3 || 3f
3 || 00
3 || 00
3 || 0c
3 || 0c
3 || 1e
3 || 1e
3 || 3f
3 || 3f
3 || 00
3 || 00
3 || 0c
3 || 0c
3 || 1e
3 || 1e
3 || 3f
3 || 3f
3 || 00
3 || 00
3 || 0c
3 || 0c
3 || 1e
3 || 1e
